person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance;origin_link_id;destination_link_id
119696;0;0;732551.1045168242;5345001.070204764;732551.1045168242;5345001.070204764;14308.0;60.0;0.0;75.17279684754246;walk;0.0;31234;31234
272525;0;0;722056.5290024076;5348263.257567665;722056.5290024076;5348263.257567665;14240.0;149.0;0.0;186.5978870051142;walk;0.0;68452;68452
166471;0;0;682151.7067208181;5382722.11008426;682151.7067208181;5382722.11008426;14361.0;74.0;0.0;93.48882630436275;walk;0.0;27484;27484
298814;0;0;716076.7204615469;5351555.784794647;716076.7204615469;5351555.784794647;14454.0;14.0;0.0;17.671169848411488;walk;0.0;41040;41040
142828;0;0;722715.5770173934;5357672.727710253;722715.5770173934;5357672.727710253;14452.0;24.0;0.0;31.245198450917382;walk;0.0;30954;30954
231961;0;1;684446.496477636;5378327.712152402;684885.9506522298;5381368.609490723;13949.0;537.0;4621.35668179714;4621.35668179714;car;3072.487037202644;72819;5428
231961;0;2;684885.9506522298;5381368.609490723;684885.9506522298;5381368.609490723;14486.0;29.0;0.0;36.32867882579536;walk;0.0;5428;5428
280933;0;1;687037.4912170107;5366652.26492632;688760.1369494244;5363717.195725439;14149.0;381.0;4108.966708197467;4108.966708197467;car;3403.2542563497213;71537;18812
68463;0;0;717081.0011215103;5357012.361078917;716728.3505853305;5357123.759016706;14232.0;337.0;0.0;421.5534958908346;walk;369.8268530156269;12686;1181
289361;0;0;682940.9973044872;5379171.4881790895;682940.9973044872;5379171.4881790895;14490.0;79.0;0.0;99.49226265648913;walk;0.0;36273;36273
262816;0;0;692251.7374123738;5405123.36886042;692601.1171459216;5405046.422452524;14178.0;399.0;0.0;499.5108664068508;walk;357.7526350733962;40966;66553
297865;0;0;716207.6518640998;5351088.488828666;716207.6518640998;5351088.488828666;14528.0;61.0;0.0;76.7564497312196;walk;0.0;58676;58676
324466;0;0;681755.5890532098;5398146.891640302;681755.5890532098;5398146.891640302;14580.0;23.0;0.0;29.229937945940083;walk;0.0;40524;40524
186376;0;0;698965.5199533997;5364110.400800835;698965.5199533997;5364110.400800835;14598.0;17.0;0.0;21.60834883306398;walk;0.0;64088;64088
114036;0;1;682779.0118996636;5391986.922037213;692559.2702566549;5395044.497780612;13138.0;1483.0;16362.903780090888;16362.903780090888;car;10247.05923453742;52090;41455
280933;0;2;688760.1369494244;5363717.195725439;688760.1369494244;5363717.195725439;14530.0;100.0;0.0;125.5396082328299;walk;0.0;18812;18812
114036;0;2;692559.2702566549;5395044.497780612;692559.2702566549;5395044.497780612;14621.0;14.0;0.0;18.106989867112397;walk;0.0;41455;41455
283353;0;0;707417.4805279167;5381979.317478679;707417.4805279167;5381979.317478679;14552.0;101.0;0.0;126.33493791694411;walk;0.0;63936;63936
181239;0;0;724732.6457621034;5366491.607217567;724732.6457621034;5366491.607217567;14643.0;39.0;0.0;49.69126191718734;walk;0.0;34664;34664
248574;0;1;690781.4385724234;5357050.695320392;688177.2717704938;5361882.957477137;14081.0;660.0;6213.069897234741;6213.069897234741;car;5489.302531632418;9722;72030
305772;0;0;711234.5208815978;5347623.4287319295;711234.5208815978;5347623.4287319295;14711.0;40.0;0.0;50.08039251020403;walk;0.0;75086;75086
248574;0;2;688177.2717704938;5361882.957477137;688177.2717704938;5361882.957477137;14741.0;29.0;0.0;36.392097068714314;walk;0.0;72030;72030
111360;0;0;685385.8585754151;5400446.312776785;685385.8585754151;5400446.312776785;14735.0;75.0;0.0;94.63612315460085;walk;0.0;60926;60926
157364;0;1;705147.4654210478;5358998.604048118;703658.6345950586;5354382.712159008;13679.0;1165.0;13818.897952216957;13818.897952216957;car;4850.059294520933;44531;25859
157364;0;2;703658.6345950586;5354382.712159008;703658.6345950586;5354382.712159008;14844.0;30.0;0.0;37.922769463384476;walk;0.0;25859;25859
200311;0;0;688623.0505698677;5387836.287772419;688623.0505698677;5387836.287772419;14803.0;76.0;0.0;95.4464343605452;walk;0.0;46210;46210
185976;0;0;704152.3568335497;5363747.882765204;704152.3568335497;5363747.882765204;14764.0;138.0;0.0;173.50180582936852;walk;0.0;17280;17280
186818;0;0;704200.6600354405;5364217.45489094;704200.6600354405;5364217.45489094;14849.0;54.0;0.0;67.64328786129546;walk;0.0;53429;53429
155254;0;1;703473.6029453266;5367538.937613163;702434.6885686959;5362801.182358157;13866.0;1050.0;6643.77738282968;6643.77738282968;car;4850.326580582929;2397;26155
85529;0;0;716918.9047191617;5372159.024647877;716100.609328387;5371608.731412456;13959.0;993.0;0.0;1241.9629335486698;walk;986.1186498147431;1521;6061
103471;0;0;693217.1075516467;5360194.922290781;693217.1075516467;5360194.922290781;14889.0;72.0;0.0;90.06917494830728;walk;0.0;71566;71566
155254;0;2;702434.6885686959;5362801.182358157;702434.6885686959;5362801.182358157;14916.0;49.0;0.0;62.224435032538516;walk;0.0;26155;26155
315801;0;0;710160.7038169624;5368582.963302953;710160.7038169624;5368582.963302953;14947.0;70.0;0.0;88.0073814787099;walk;0.0;69999;69999
166926;0;0;686810.1028073812;5378479.150413508;686709.0533476907;5378567.27664914;14953.0;151.0;0.0;189.76970224629045;walk;134.07918074943882;31161;64370
