person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
338466;3;leisure;52474.0;52474.0;725264.992206;5339014.110049;sec_2244;9753
320034;2;home;52474.0;Infinity;698192.802134;5354232.315514;home_320034;34945
416076;0;home;-Infinity;52476.0;716049.498539;5350963.032698;home_416076;45138
204822;1;other;52476.0;53693.0;681472.511144;5392121.453819;sec_2100;12275
416048;1;leisure;52478.0;52478.0;714730.871826;5352172.393873;sec_2200;36494
126991;4;leisure;52479.0;53254.0;698525.547945;5368624.062503;sec_2628;78789
217129;0;home;-Infinity;52481.0;702463.039484;5384371.335497;home_217129;69270
430009;0;home;-Infinity;52482.0;687057.085674;5366261.689308;home_430009;60586
108538;4;education;52482.0;57958.0;701461.885184;5364679.185414;edu_441;5577
391346;2;leisure;52484.0;58128.0;681187.627614;5378213.126073;sec_2894;17960
376116;1;shop;52485.0;54507.0;704690.797583;5358992.7129;sec_1345;55752
297173;3;work;52485.0;75839.0;714353.883274;5353441.380537;work_1345;63083
290091;1;shop;52487.0;60560.0;690938.399276;5381382.515141;sec_1920;6845
385764;0;home;-Infinity;52488.0;711344.729889;5381111.637262;home_385764;61932
238380;0;home;-Infinity;52488.0;681766.23425;5392419.802201;home_238380;53794
20000;0;home;-Infinity;52488.0;704011.0846;5365555.919386;home_20000;10337
299148;3;work;52488.0;67437.0;714555.928126;5353374.282542;work_1867;58901
268986;3;other;52488.0;52863.0;717314.604744;5351668.294085;sec_4374;5075
45675;3;shop;52489.0;56418.0;685511.274498;5377970.205618;sec_1881;62225
187977;0;home;-Infinity;52490.0;701223.49691;5363669.197768;home_187977;51498
91397;1;shop;52490.0;53867.0;731868.454414;5363592.235326;sec_1166;69869
189616;1;leisure;52490.0;55862.0;693691.886903;5364456.27927;sec_2630;22652
32816;1;leisure;52493.0;59816.0;710811.295385;5356059.005896;sec_2363;30541
357749;0;home;-Infinity;52496.0;721754.147333;5375179.8757;home_357749;11706
230075;0;home;-Infinity;52497.0;675301.117857;5385559.834182;home_230075;32188
