person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
158644;drt;drt;NaN;46359;713518.1466244054;5368371.619944593;null;NaN;NaN;17885.0;NaN;NaN;0.0
246586;drt;drt;NaN;6599;721096.4268088301;5365825.352974681;null;NaN;NaN;17904.0;NaN;NaN;0.0
260368;drt;drt;NaN;4649;685917.9701207331;5379825.800749935;null;NaN;NaN;17957.0;NaN;NaN;0.0
105128;drt;drt;NaN;28451;703737.7806073226;5364972.340304224;null;NaN;NaN;17970.0;NaN;NaN;0.0
147499;drt;drt;NaN;79608;709742.5448952734;5350847.274547255;null;NaN;NaN;17984.0;NaN;NaN;0.0
196364;drt;drt;NaN;61782;678789.6795405296;5386124.6534740385;null;NaN;NaN;18002.0;NaN;NaN;0.0
203151;drt;drt;NaN;39218;691523.0691661376;5399739.497290644;null;NaN;NaN;18067.0;NaN;NaN;0.0
229692;drt;drt;NaN;51462;671077.9694652711;5370929.341732496;null;NaN;NaN;18098.0;NaN;NaN;0.0
318010;drt;drt;NaN;39631;707747.8762814803;5379336.293856643;null;NaN;NaN;18119.0;NaN;NaN;0.0
136226;drt;drt;NaN;62032;675203.4425711341;5368735.584014752;null;NaN;NaN;18137.0;NaN;NaN;0.0
166845;drt;drt;NaN;18032;683672.0362750008;5377083.885051187;null;NaN;NaN;18175.0;NaN;NaN;0.0
311185;drt;drt;NaN;44505;703796.6527531844;5365445.25619556;null;NaN;NaN;18185.0;NaN;NaN;0.0
77968;drt;drt;NaN;71902;683940.1995706959;5379118.684365731;null;NaN;NaN;18190.0;NaN;NaN;0.0
101973;drt;drt;NaN;73969;716611.6947573524;5364005.187895486;null;NaN;NaN;18219.0;NaN;NaN;0.0
160612;drt;drt;NaN;77913;707044.4463542254;5380112.976031072;null;NaN;NaN;18223.0;NaN;NaN;0.0
178840;drt;drt;NaN;34595;730515.2645893218;5359139.931600824;null;NaN;NaN;18247.0;NaN;NaN;0.0
106946;drt;drt;NaN;80664;708373.6040473264;5368080.014998899;null;NaN;NaN;18282.0;NaN;NaN;0.0
251757;drt;drt;NaN;46243;713981.9043100972;5360461.413176541;null;NaN;NaN;18343.0;NaN;NaN;0.0
