iteration;indicator:mode_share:bicycle;indicator:mode_share:car;indicator:mode_share:car_passenger;indicator:mode_share:drt;indicator:mode_share:pt;indicator:mode_share:walk;criterion:mode_share:bicycle;criterion:mode_share:car;criterion:mode_share:car_passenger;criterion:mode_share:drt;criterion:mode_share:pt;criterion:mode_share:walk
12;0.02186481881500809;0.5812320436868633;0.13304959685180828;0.07966008654675592;0.07975276429197767;0.10444068980758674;NaN;NaN;NaN;NaN;NaN;NaN
13;0.022457354186418477;0.5786586380841409;0.13129193112981552;0.08561730584122802;0.07784444138869388;0.10413032936970319;NaN;NaN;NaN;NaN;NaN;NaN
14;0.023239907922896458;0.5761952740617623;0.12951100586145778;0.09191530671530378;0.07554440955189633;0.10359409588668339;NaN;NaN;NaN;NaN;NaN;NaN
15;0.024105545617173523;0.5743887895050686;0.1275939177101968;0.09734645199761478;0.07382230172927848;0.10274299344066785;NaN;NaN;NaN;NaN;NaN;NaN
16;0.02464661382199584;0.5730883992887067;0.12633744235811808;0.10209771240845113;0.07175472437385093;0.1020751077488773;NaN;NaN;NaN;NaN;NaN;NaN
17;0.025134677308590352;0.5722068765547026;0.12395653700001526;0.10781815129641216;0.06974987409770018;0.1011338837425794;NaN;NaN;NaN;NaN;NaN;NaN
18;0.025878117926969632;0.5712188979784169;0.1224073602002271;0.11315303623708992;0.0676770719875167;0.09966551566977977;NaN;NaN;NaN;NaN;NaN;NaN
19;0.02636559879864848;0.5683112251282693;0.12182455262169942;0.11863346264547617;0.06601958453259918;0.09884557627330746;NaN;NaN;NaN;NaN;NaN;NaN
20;0.02681777201334957;0.566463154231846;0.12000379608686712;0.12323046992392009;0.06505543868528858;0.09842936905872862;NaN;NaN;NaN;NaN;NaN;NaN
21;0.027380857348128042;0.5651951784146244;0.11919054841542269;0.12756446076474814;0.06323940288975813;0.09742955216731859;NaN;NaN;NaN;NaN;NaN;NaN
22;0.02797405865840674;0.5638773271383861;0.11818797793050044;0.13198141515826153;0.060836317878230566;0.09714290323621463;NaN;NaN;NaN;NaN;NaN;NaN
23;0.028521877900633458;0.5615300688824114;0.11761305346121904;0.135924701590972;0.05938868895438779;0.09702160921037634;NaN;NaN;NaN;NaN;NaN;NaN
24;0.029284191639437362;0.5592062486110997;0.11587749693413114;0.14057728870196462;0.05822270142141087;0.09683207269195632;NaN;NaN;NaN;NaN;NaN;NaN
25;0.02951282264088306;0.5583367914349738;0.11480620798406507;0.14462611005062662;0.056726699311146156;0.09599136857830526;NaN;NaN;NaN;NaN;NaN;NaN
26;0.029974944064089563;0.556308816505074;0.11343048444269398;0.14896130994779316;0.05562585370350197;0.09569859133684731;NaN;NaN;NaN;NaN;NaN;NaN
27;0.030368616841393303;0.5552756171795739;0.11157423063916132;0.15285762597226918;0.054447074737910044;0.09547683462969225;NaN;NaN;NaN;NaN;NaN;NaN
28;0.03082527792234385;0.5540530164065899;0.11011099830217816;0.15684802361593392;0.052641008796252844;0.09552167495670127;NaN;NaN;NaN;NaN;NaN;NaN
29;0.03143269825985281;0.5533220991815118;0.1086388334823578;0.16031020015131714;0.05141343971387303;0.09488272921108742;NaN;NaN;NaN;NaN;NaN;NaN
30;0.031952417179611316;0.5520523549346428;0.10799502040251746;0.16315097862922748;0.05051352099038661;0.09433570786361435;NaN;NaN;NaN;NaN;NaN;NaN
31;0.03235519353940407;0.5508214981899192;0.10750835421888054;0.16642300194931775;0.04888088276246171;0.09401106934001671;0.00527071297584976;0.01779553458266081;0.015666649694204005;0.05379484616440275;0.017401086682701114;0.0062022881806863975
32;0.03266300822273261;0.5490295772919334;0.10622052351982046;0.17024037028595473;0.04838087557199713;0.09346564510756177;0.005152890582413577;0.017271629782607434;0.015259044581683368;0.05242337175138412;0.017104293650047425;0.005941294319459487
33;0.0328241851276986;0.548178001975448;0.10519260618033018;0.17338083815436714;0.047648864117398056;0.092775504444758;0.00501088940156707;0.01686653966630658;0.014851422329146394;0.051096740810190194;0.016730025112389246;0.005659643103915064
34;0.03324379670753438;0.547662739466149;0.10409297625063163;0.17628963768694095;0.04657677544036949;0.0921340744483746;0.004870283642264683;0.016441954517472768;0.014464178648995296;0.049763179822198245;0.01631181803225981;0.005415512265735113
35;0.03356296844225405;0.5464543210316647;0.10320211751495005;0.17906191235840901;0.04605773258352866;0.09166094806919355;0.004732178488008183;0.01592251511671383;0.014083912954883121;0.04840545095328165;0.015909204115363187;0.0052219972543296475
