person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance;origin_link_id;destination_link_id
437195;5;701299.194149443;5364603.258463265;705218.643735666;5370120.188536933;74210.0;1352.0;9551.452270348382;9829.27948604699;car;work;home;true;6767.466475475035;5577;10305
97927;1;712282.7800910848;5354356.669367931;714452.5357635879;5353168.271159723;74873.0;690.0;3405.12062576057;3550.264024858008;car;leisure;home;true;2473.8896458068334;54211;67312
356687;1;716940.670309593;5375422.188152794;711125.9948202078;5354685.179518014;73100.0;2466.0;32578.491934572943;32809.803338635356;car;leisure;leisure;false;21536.80519867745;78994;17758
133876;5;695219.589488714;5353444.98219794;692440.1422268832;5367740.552895555;72187.0;3385.0;23344.203707528442;25270.168449410365;pt;leisure;leisure;false;14563.26435425125;42076;9290
100698;6;734420.6884006413;5361589.82960894;734420.6884006413;5361589.82960894;75494.0;89.0;0.0;110.99699703029603;car;home;home;true;0.0;42604;42604
173308;0;740147.6079884325;5352659.143116726;738470.251311581;5351823.5816406775;74663.0;927.0;2695.6490369436488;3444.6160279304668;car;home;leisure;false;1873.9499464057224;19153;1715
297831;2;714512.9586133456;5354048.3565235725;706394.7646386375;5358943.58116279;74238.0;1356.0;14605.27685293018;14719.852282634001;car;home;leisure;false;9479.889117462692;9561;12118
204200;1;681780.507250112;5387709.888468245;682399.6931343549;5388626.348590065;75197.0;403.0;1615.319091725398;1706.5280291414085;car;work;home;true;1106.024554036439;77059;58197
71396;2;716940.670309593;5375422.188152794;721843.1626042272;5364825.658161515;74610.0;993.0;0.0;16003.721578519779;car_passenger;leisure;home;true;11675.65323889893;78994;36667
133988;6;692564.9199207309;5367442.205953757;692183.4973638812;5367482.3800379;75465.0;138.0;646.422053862096;696.0640881207945;car;other;other;false;383.53242875987047;41524;16760
78994;3;690987.3792303856;5406568.519941943;691815.4607474947;5409003.988187089;75066.0;545.0;0.0;3710.514422420303;car_passenger;leisure;home;true;2572.3966591666085;26080;11273
114825;1;693445.6525380226;5401923.350433602;686333.1461569706;5389212.119958801;73689.0;1939.0;23012.707921565463;23338.264415487072;car;work;home;true;14565.820512556425;17025;55081
158575;1;710749.0669445585;5368738.800150437;710339.3034069163;5368440.712862121;75136.0;498.0;0.0;622.9976299880756;walk;leisure;shop;false;506.7170692179575;48730;79659
126067;2;701150.9145853571;5363902.683055511;702038.4732279299;5364627.267494189;74472.0;1162.0;0.0;1452.9517724084938;walk;home;shop;false;1145.7674078013724;76674;31252
130186;2;691211.1220956738;5363245.205719085;691366.697811072;5364369.746253401;75395.0;240.0;0.0;2224.439046772007;car_passenger;home;other;false;1135.251168922781;73575;55354
215464;1;716306.3221964182;5379911.162226521;699899.8100270827;5378693.23082407;73306.0;2330.0;25738.018054076885;25782.1900633249;car;work;home;true;16451.656404861824;73135;69706
267151;6;708674.3057143613;5363097.089798413;715210.2274538403;5355270.832543499;74457.0;1189.0;14454.815921325287;14526.767753919867;car;leisure;home;true;10196.498203044757;55733;35498
91776;3;694321.5125882578;5352815.012252118;694944.2796018091;5352855.969960364;75304.0;343.0;1035.4491990168528;1171.1456506598724;car;leisure;home;true;624.1123993579376;56351;60704
68104;2;703403.0748593387;5365137.531691523;713927.7120376078;5361688.145190096;64015.0;11645.0;0.0;14557.205320338418;walk;leisure;work;false;11075.479897974155;54841;61811
328601;6;681849.5438575823;5377076.261556587;672757.1914505432;5373867.181868194;74651.0;1011.0;10929.413006077142;11041.438445983566;car;home;leisure;false;9642.046709088698;2053;31746
174835;3;715094.5271067164;5351625.651643065;714813.144497969;5355703.591674761;74864.0;824.0;5206.435141198054;5251.003070019697;car;work;home;true;4087.6363677087525;20354;72663
224868;7;706748.4493619681;5379782.096412707;706245.4324997099;5379515.780992739;75182.0;508.0;0.0;635.8882070404994;walk;other;home;true;569.1659394490606;45075;60430
238061;1;681224.2761259438;5392432.832395718;685831.928383423;5389188.080877464;74674.0;1021.0;7221.098858006409;7370.243225949634;car;work;home;true;5635.501019524924;71986;346
378987;6;692791.7629567722;5359454.498286506;693253.2363887858;5360268.983501144;74784.0;912.0;0.0;1140.0470797506039;walk;leisure;leisure;false;936.1324122780885;8780;264
75807;2;698176.6430764177;5354241.649191375;697894.227942186;5354349.236955733;75409.0;291.0;0.0;363.8608775567595;walk;home;leisure;false;302.2142205170794;75142;43814
335358;0;716274.272704245;5354768.0275501525;709714.3724743102;5365878.385877017;73537.0;2165.0;27261.121933622224;27321.018183472443;car;home;leisure;false;12902.416563497896;12817;66493
121408;3;715038.8198623469;5355607.037279002;711125.9948202078;5354685.179518014;74662.0;1044.0;5544.850471373191;5791.274535988345;car;shop;leisure;false;4019.952927819493;45653;17758
176879;1;719420.4609507797;5339661.1898000445;722150.8176015031;5339802.639718033;74852.0;863.0;0.0;3599.1366899181853;bicycle;work;home;true;2734.0182002774654;73784;16369
305151;1;716804.4074369294;5364698.277136663;712255.1183636223;5354119.777784818;74162.0;1554.0;19094.396257905333;19160.610148372598;car;other;home;true;11515.23684556678;46096;15153
128499;2;697821.373930243;5362057.778314109;697342.8293768133;5369065.197822824;74282.0;1448.0;12648.944416181102;12700.936028503458;car;home;leisure;false;7023.740674365694;64820;49485
