person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
232375;0;1;640414.link:67589;104996.link:25799;24101;325654;325654_06:30:00;179684.0;59541.0;bus
273193;0;1;415892.link:54208;443516.link:52788;5773;1557431;274177_06:32:00;496190.0;185600.0;bus
302216;0;3;120060.link:15713;443516.link:52788;5773;1557431;274177_06:32:00;125808.0;185600.0;bus
327581;0;1;406280.link:54742;110472.link:41026;8390;98964;377278_06:35:00;493871.0;300257.0;bus
123638;0;1;12224.link:29870;545209.link:15585;12743;1180575;1590048_06:29:00;464291.0;88225.0;bus
76206;0;1;566464.link:47074;404582.link:17981;18695;238513;238513_06:42:00;487641.0;62301.0;bus
118145;0;1;338123.link:56812;452220.link:14574;13598;1422485;182258_06:53:00;240045.0;301018.0;bus
305847;0;1;126593.link:9365;175917.link:43827;24871;328856;328856_06:40:00;572234.0;124343.0;bus
245507;0;3;635139.link:25290;383361.link:77252;5503;204545;340295_06:51:00;609285.0;666522.0;bus
150254;0;1;126593.link:9365;175917.link:43827;24871;328856;328856_06:40:00;572234.0;124343.0;bus
305772;0;1;131259.link:51278;175917.link:43827;24871;328856;328856_06:40:00;61333.0;124343.0;bus
331398;0;1;380186.link:47559;484637.link:68812;13668;1030855;355103_06:44:00;476973.0;626868.0;bus
123674;0;3;557401.link:54015;7750.link:41757;12526;889712;889712_06:45:00;6570.0;378316.0;bus
186800;0;1;142575.link:14866;609932.link:13589;21480;915170;458329_06:44:00;451556.0;96974.0;bus
172228;0;1;233132.link:33390;197854.link:15078;24101;325654;325654_06:30:00;440091.0;655169.0;bus
123658;0;1;7750.link:41757;585269.link:9535;12526;889712;1537139_06:25:00;378316.0;309005.0;bus
311550;0;1;199199.link:46517;277214.link:69591;18092;841381;841381_06:50:00;664177.0;96062.0;bus
155475;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
272613;0;3;170659.link:56815;231131.link:81139;17075;574539;490500_06:54:00;240045.0;36038.0;bus
93173;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
92445;0;1;590143.link:22892;277214.link:69591;18092;841381;841381_06:50:00;38250.0;96062.0;bus
126286;0;1;462215.link:pt_462215;662009.link:37849;16059;258178;1202969_06:52:00;480693.0;96974.0;rail
181180;0;3;147812.link:56813;610783.link:11538;373;226990;226990_06:53:00;240045.0;79241.0;bus
147614;0;3;431060.link:16905;344571.link:6227;12526;341182;1223971_06:37:00;601422.0;457764.0;bus
132800;0;1;49478.link:9292;662009.link:37849;16059;258178;1202969_06:52:00;601422.0;96974.0;rail
70564;0;1;572907.link:44315;46295.link:76459;20612;705237;1470459_06:26:00;352212.0;612531.0;bus
236015;0;1;222500.link:9796;299970.link:68366;22781;1362296;1362296_06:58:00;270354.0;94257.0;bus
288471;0;1;205692.link:24298;41162.link:49389;21536;1536122;1536122_06:50:00;377344.0;671895.0;bus
259193;0;1;339592.link:17224;41162.link:49389;21536;1536122;1536122_06:50:00;176484.0;671895.0;bus
233036;0;1;644681.link:3283;104996.link:64428;11812;176209;176209_06:10:00;511517.0;59541.0;bus
273260;0;3;89375.link:18799;581508.link:54324;19170;593598;185229_06:49:00;41137.0;51975.0;bus
208433;0;1;69229.link:78978;660488.link:45656;24492;105650;105650_06:33:00;612531.0;590495.0;bus
280482;0;1;50743.link:38930;396470.link:18797;3654;295338;295338_06:45:00;594422.0;33445.0;bus
272910;0;1;572907.link:44315;650692.link:81557;20612;705237;1470459_06:26:00;352212.0;240045.0;bus
256364;0;1;202267.link:54238;594887.link:29428;18874;779435;779435_06:58:00;249144.0;586561.0;bus
224974;0;3;609932.link:13589;514565.link:14296;21480;915170;458329_06:44:00;96974.0;485025.0;bus
160250;0;1;87272.link:67511;537498.link:743;15259;386101;222207_06:56:00;593923.0;36685.0;bus
84512;0;1;142575.link:14866;674010.link:69003;21480;915170;458329_06:44:00;451556.0;91217.0;bus
159105;0;3;159131.link:26976;662009.link:37849;10939;294701;247864_07:00:00;384423.0;96974.0;rail
146896;0;3;159131.link:26976;662009.link:37849;10939;294701;247864_07:00:00;384423.0;96974.0;rail
94541;0;1;431060.link:16905;240701.link:60793;19170;233783;1637047_07:00:00;601422.0;610144.0;bus
62152;0;1;15481.link:68793;403848.link:48995;11724;628905;257583_07:08:00;194530.0;24730.0;bus
110885;0;1;560699.link:17191;654031.link:78688;21536;1536122;1536122_06:50:00;130860.0;306183.0;bus
4657;0;1;650649.link:53698;557401.link:54015;12526;889712;1596751_07:05:00;294168.0;6570.0;bus
142187;0;1;477499.link:55118;82652.link:69252;5185;843437;843437_06:49:00;473673.0;187260.0;bus
223219;0;1;423756.link:73583;259129.link:63639;18309;1604018;1604018_07:00:00;430066.0;200976.0;bus
318157;0;1;142899.link:9600;83.link:76141;7839;372860;1642757_07:01:00;578786.0;220682.0;bus
75265;0;1;292016.link:11389;83.link:76141;7839;372860;1642757_07:01:00;648867.0;220682.0;bus
302216;0;5;136398.link:28292;168132.link:22316;21991;1288999;278815_07:08:00;185600.0;417625.0;rail
273193;0;3;136398.link:28292;168132.link:22316;21991;1288999;278815_07:08:00;185600.0;417625.0;rail
157627;0;1;136398.link:28292;168132.link:22316;21991;1288999;278815_07:08:00;185600.0;417625.0;rail
256364;0;3;594887.link:52633;210722.link:22413;18874;1450073;689377_07:11:00;586561.0;533743.0;bus
108179;0;1;292016.link:11389;83.link:76141;7839;372860;1642757_07:01:00;648867.0;220682.0;bus
195245;0;1;90054.link:61109;302634.link:31269;24325;1701259;1701259_06:14:00;273531.0;109112.0;bus
294757;0;1;477499.link:55118;448821.link:46347;5185;843437;843437_06:49:00;473673.0;169957.0;bus
243082;0;1;314372.link:53231;4141.link:79489;3299;1374432;3234_06:53:00;98039.0;393496.0;bus
249869;0;1;623855.link:52612;575778.link:69591;2984;375536;267584_06:55:00;297737.0;96062.0;bus
155147;0;1;49590.link:67568;425730.link:71417;9289;1137759;965546_06:39:00;190940.0;666332.0;bus
39990;0;1;555266.link:45855;663278.link:57349;18695;1246412;1246412_07:01:00;177342.0;611135.0;bus
73583;0;1;128174.link:67827;181675.link:16909;10350;694285;694285_06:47:00;177156.0;168613.0;bus
332578;0;1;382281.link:5379;203929.link:5129;5185;843437;843437_06:49:00;238847.0;308684.0;bus
163586;0;1;193313.link:71959;398674.link:14405;7839;29708;637031_06:55:00;416475.0;395083.0;bus
211550;0;1;667947.link:71140;56361.link:56858;7883;1653819;1563625_06:37:00;565436.0;240045.0;bus
20864;0;1;358836.link:7463;651491.link:7447;7725;534384;67499_07:05:00;594422.0;155273.0;bus
126269;0;1;382205.link:67829;170724.link:69001;10350;694285;694285_06:47:00;40950.0;88902.0;bus
93173;0;3;53851.link:61582;280940.link:12479;3794;1432724;695782_07:12:00;96974.0;91217.0;bus
29775;0;1;154469.link:48311;483211.link:37927;7195;1179833;1179833_07:17:00;240045.0;42579.0;rail
48628;0;1;406696.link:64288;461781.link:47955;13598;1422485;182258_06:53:00;313612.0;354177.0;bus
82945;0;1;253389.link:43941;474259.link:60507;17075;574539;490500_06:54:00;338841.0;266462.0;bus
122294;0;1;647143.link:36733;474259.link:60507;17075;574539;490500_06:54:00;336100.0;266462.0;bus
8048;0;1;296256.link:20784;38049.link:76458;7839;372860;1642757_07:01:00;19704.0;95392.0;bus
255207;0;1;340612.link:24587;504532.link:16906;19170;593598;185229_06:49:00;171387.0;601422.0;bus
72897;0;1;378879.link:pt_378879;539881.link:61627;13951;298549;298549_07:09:00;1721.0;140551.0;bus
159105;0;5;410688.link:10330;595865.link:69580;5468;698978;191495_07:14:00;96974.0;578598.0;bus
146896;0;5;410688.link:10330;595865.link:69580;5468;698978;191495_07:14:00;96974.0;578598.0;bus
41605;0;1;560972.link:10925;73730.link:14206;13245;460649;657724_07:05:00;431096.0;61954.0;bus
136226;0;3;607875.link:55885;197854.link:15079;5185;843437;843437_06:49:00;262138.0;655169.0;bus
308624;0;1;63085.link:15521;100488.link:41786;12526;341182;1271597_06:57:00;404599.0;80511.0;bus
239472;0;1;250023.link:40223;299938.link:41078;15260;63457;63457_07:13:00;669646.0;242987.0;bus
315324;0;1;563094.link:73084;246877.link:70637;1573;279118;279118_07:08:00;231803.0;648439.0;bus
25525;0;1;446040.link:48624;8422.link:65540;22781;277292;174288_07:06:00;484211.0;371725.0;bus
