node_index,source_node_id,pos_x,pos_y,is_stop_only
134,1018370887,684542.2607125936,5371404.296396497,False
135,1018370891,684621.8717949635,5371424.452507983,False
136,10185483121,699514.2405018857,5374910.872730691,False
137,10210615002,706483.3504729031,5384926.450937259,False
138,10210615003,706467.9745196544,5384890.886271444,False
139,10210615005,706571.1400252325,5384851.923965328,False
140,10210615007,706561.4017859409,5384816.065072491,False
141,10210615008,706519.534756634,5384871.4096326055,False
142,10210615009,706530.3171209036,5384898.937721168,False
143,10210615010,706578.1694980124,5384871.245914909,False
144,10223792621,704284.7928259415,5368604.215136696,False
145,10223792623,704277.2776535498,5368593.115939195,False
146,10223792655,704283.8626408235,5368513.262701177,False
147,1022423325,687238.5018396692,5398011.173245351,False
148,10226389252,709880.7533784617,5358302.978908749,False
149,10226389253,709894.7519639033,5358319.666651852,False
150,1023060923,694173.2715115346,5406390.421760505,False
151,1023061435,692840.8572126628,5405697.042138671,False
152,10236253271,703865.0738224568,5362326.251472363,False
153,10236681556,734775.0479867556,5349395.720226863,False
154,10237937798,694198.3869013817,5353235.433111346,False
155,10237937799,694209.655514148,5353210.448837869,False
156,10239842582,717148.36696182,5372531.929008639,False
157,10239849292,717151.0475512166,5372514.557669018,False
158,10248360064,717120.9355511643,5372831.756334336,False
159,10248364365,716970.6035870117,5372421.481114866,False
160,10248376524,716965.630068256,5372372.10623229,False
161,10250142365,668803.7617174996,5372777.6509506,False
162,10255003804,716857.5645545418,5372467.818570469,False
163,10255311211,717110.7018605942,5372461.564315382,False
164,10255315537,717096.1887473204,5372455.553113479,False
165,10255318111,716867.292999962,5372723.338360305,False
166,10259566994,715734.4928074357,5372594.073748806,False
167,10262104722,706238.4728474538,5367082.76354055,False
168,1026291290,693211.5219847632,5408102.622801571,False
169,1026291778,693310.6180389235,5408762.239298585,False
170,1026360603,690270.9161582858,5387308.689052217,False
171,1026384842,694057.8274256089,5408454.123038875,False
172,1026385025,694520.3023021525,5408216.383382819,False
173,1026453139,695000.7068985677,5407027.231233181,False
174,1026507613,720888.8651040415,5373989.644435686,False
175,1026507692,720515.9466991954,5373842.054552078,False
176,1026550625,720471.831227587,5371254.084295287,False
177,1026550724,720416.8315395748,5371224.403147559,False
178,1026607481,691755.8433906852,5409380.701350591,False
179,1026864825,691598.6274163015,5409881.662449603,False
180,10270398689,694175.8885212159,5353328.61955618,False
181,10270398699,694165.4641713493,5353327.584853466,False
182,10270398700,694289.9205084875,5353388.805327661,False
183,1027120923,718765.9322742325,5375598.487212911,False
184,1027120931,718546.97086317,5375705.419713939,False
185,1027225034,734441.8382461843,5353083.989716213,False
186,1027225171,735054.6526443067,5353151.69725129,False
187,1027225185,734540.9383435188,5353232.247604779,False
188,1027854751,689699.2008018703,5388760.017162083,False
189,10278580502,709329.4532127831,5384504.255560402,False
190,10278602411,710927.2280768469,5382333.48371887,False
191,10278609082,712742.0784766788,5383331.328966476,False
192,10278638832,700793.5941773467,5370809.517105396,False
193,10278638892,702697.4246772038,5370950.372079694,False
