stop_id;stop_name;lat;long;fixed_stop;stop_order;pos_x;pos_y;utm_zone_number;utm_zone_letter;node_index;distance_to_node
36;Plettstrasse;48.10920097754519;11.64417889610242;False;36;696819.7401757975;5331819.553462115;32;U;931;75.64110578275287
37;Staudingerstrasse;48.109216223611966;11.638894018188514;False;37;696426.3315620883;5331807.738313266;32;U;2550;17.97203169955181
38;Nawiaskystrasse;48.106571643154886;11.636405187366142;False;38;696251.1635762039;5331507.479355476;32;U;82;13.838752204899327
39;Holzwiesenstrasse;48.102556631808014;11.636511087911565;False;39;696274.3407405289;5331061.540283001;32;U;2968;5.446846080164352
40;Heinrich-Lübke-Strasse / Böglstrasse;48.1005532767831;11.636665200253232;False;40;696293.4443139568;5330839.290252347;32;U;2013;16.8551829416324
41;Wilhelm-Högner-Strasse;48.09920783418283;11.636351283792584;False;41;696275.2003424845;5330688.963306884;32;U;542;21.72151971915074
42;Putzbrunner-Strasse / Hans-Ehard-Strasse;48.09959382384211;11.632955407832949;False;42;696020.9297014102;5330723.201920324;32;U;1067;3.2143915110550036
43;Pfanzeltplatz;48.09981413692098;11.631233213270384;False;43;695891.886187182;5330743.299680522;32;U;1447;12.282702883093465
44;Schumacherring;48.099461836277385;11.64144908660422;False;44;696653.7313860665;5330730.2106416775;32;U;2849;33.896568374260085
45;Thomas-Dehler-Strasse;48.099833827401824;11.645703571896288;False;45;696969.0283210807;5330782.436286544;32;U;81;69.67631233703476
46;Neuperlach Zentrum Ende;48.10104291248616;11.647682672942093;True;46;697111.7333624631;5330921.877210154;32;U;2743;25.11594328488114
